"latitude","longitude","tot.catch"
40.55,-71.55,0
40.46667,-71.51667,0
40.51667,-71.71667,0
40.38333,-71.85,1
40.31667,-71.78333,0
40.26667,-71.88333,0
40.13333,-72.08333,2
40.06667,-72.16667,0
40.1,-72.31667,7
40.01667,-72.4,13
39.9,-72.56667,530
39.81667,-72.48333,2750
39.85,-72.58333,2060
39.81667,-72.68333,1016
39.76667,-72.73333,1206
39.68333,-72.61667,30
39.58333,-72.65,110
39.5,-72.53333,0
39.43333,-72.63333,0
39.46667,-72.66667,722
39.43333,-72.73333,41
39.4,-72.8,39
39.31667,-72.73333,0
39.33333,-72.85,94
39.26667,-72.81667,7
39.21667,-72.78333,0
38.96667,-72.98333,0
38.86667,-73.18333,33
38.76667,-73.18333,0
38.65,-73.25,0
38.6,-73.38333,1
38.68333,-73.61667,344
38.65,-73.53333,942
38.73333,-73.51667,758
38.76667,-73.6,83
38.81667,-73.7,60
38.93333,-73.51667,27
38.88333,-73.43333,119
38.85,-73.35,482
38.93333,-73.28333,151
39.01667,-73.48333,20
39.15,-73.55,16
39.13333,-73.45,26
39.23333,-73.31667,18
39.3,-73.31667,30
39.33333,-73.21667,55
39.21667,-73.13333,86
39.13333,-73.15,1336
39.1,-73.18333,239
39.01667,-73.15,459
39.06667,-73.08333,229
39.18333,-73.1,105
39.28333,-72.98333,557
39.31667,-72.93333,5056
39.38333,-72.91667,2500
39.38333,-73.11667,264
39.51667,-73.11667,10
39.51667,-73.15,8
39.65,-73.06667,28
39.65,-72.98333,46
39.55,-72.96667,370
39.6,-72.88333,316
39.51667,-72.88333,970
39.48333,-72.85,476
39.5,-72.73333,7084
39.55,-72.8,3246
39.63333,-72.76667,322
39.71667,-72.85,0
39.8,-72.95,0
39.71667,-73,16
39.71667,-73.05,17
39.76667,-73.11667,15
39.81667,-73.06667,17
39.88333,-73.25,41
39.93333,-73.28333,4
39.9,-73.35,139
39.98333,-73.35,0
40.01667,-73.28333,5
40.03333,-73.36667,3
40,-73.45,21
40.05,-73.48333,0
40.11667,-73.56667,14
40.15,-73.55,4
40.13333,-73.61667,0
40.16667,-73.66667,1
40.21667,-73.55,0
40.15,-73.28333,9
39.98333,-73.05,13
39.9,-73.11667,3
39.85,-72.98333,3
39.9,-72.91667,114
39.85,-72.78333,471
39.98333,-72.58333,842
39.98333,-72.75,326
39.98333,-72.81667,52
40.1,-72.91667,22
40.18333,-72.85,21
40.1,-72.81667,26
40.06667,-72.51667,91
40.15,-72.55,70
40.18333,-72.45,35
40.21667,-72.51667,42
40.23333,-72.68333,42
40.31667,-72.61667,20
40.4,-72.68333,17
40.51667,-72.68333,25
40.55,-72.48333,19
40.45,-72.53333,20
40.46667,-72.46667,41
40.4,-72.41667,46
40.31667,-72.43333,30
40.31667,-72.35,21
40.23333,-72.35,37
40.18333,-72.3,290
40.23333,-72.18333,207
40.91667,-71.76667,297
40.86667,-71.8,46
40.86667,-71.85,23
40.9,-71.95,1
40.85,-72.06667,9
40.81667,-72.18333,20
40.81667,-72.3,0
40.81667,-72.38333,0
40.78333,-72.35,33
40.66667,-72.38333,28
40.58333,-72.38333,159
40.61667,-72.31667,62
40.56667,-72.25,76
40.56667,-72.18333,106
40.53333,-72.18333,71
40.5,-72.31667,50
40.43333,-72.28333,68
40.35,-72.25,24
40.31667,-72.15,26
40.36667,-72.1,11
40.45,-71.96667,3
40.56667,-71.98333,26
40.6,-72.01667,34
40.6,-72.13333,75
40.65,-72.16667,143
40.65,-72.08333,62
40.7,-72.05,31
40.73333,-72.05,230
40.71667,-71.98333,8
40.66667,-71.83333,114
40.73333,-71.88333,8
40.76667,-71.91667,8
40.75,-71.83333,38
